EXTERIOR,,INTERIOR,2011,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2013,WBSKG9C57DE799146,,E799146,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,5AC,6FL,6NF,6NR,655,752",,,07-13-2012,,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C59DE799147,,E799147,"MSRP.1,ZCW,2MK,302,403,4MZ,507,6FL,655",,,07-14-2012,550/950,,,,,,,,,,
A75 - Melbourne Red Metallic,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C50DE799148,,E799148,"MSRP.1,ZCP,302,322,403,6FL,771",,,07-14-2012,550/950,,,,,,,,,,
668 - Jet Black,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C52DE799149,,E799149,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,5AC,6FL,6NF,6NR,655,752",,,07-14-2012,1100,,,,,,,,,,
A96 - Mineral White Metallic,,NDH2 - Fox Red Extended Leather,2013,WBSKG9C59DE799150,,E799150,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,6NF,6NR,655",,,07-16-2012,1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C50DE799151,,E799151,"MSRP.1,ZCP,ZPP.3,2MK,302,6FL",,,07-16-2012,550,,,,,,,,,,
A96 - Mineral White Metallic,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C52DE799152,,E799152,"MSRP.1,ZCP,2MK,302,322,403,609,6FL,655,771",,,07-16-2012,950,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2013,WBSKG9C54DE799153,,E799153,"MSRP.1,ZCW,2MK,2MT.1,302,322,415,4MX,507,609,6FL,655,752",,,07-16-2012,950,,CAN,,,,,,,,
A52 - Space Gray Metallic,,NCH2 - Fox Red Novillo Leather,2013,WBSKG9C56DE799154,,E799154,"MSRP.1,ZCP,2MK,302,322,4MY,6FL",,,07-16-2012,550/950,,,,,,,,,,
A75 - Melbourne Red Metallic,,GEAT - Anthracite/Black Cloth & Leather,2013,WBSKG9C58DE799155,,E799155,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,655,752",,,07-16-2012,550,,,,,,,,,,
A75 - Melbourne Red Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C5XDE799156,,E799156,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR",,,07-16-2012,550,,,,,,,,,,
381 - Le Mans Blue Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C51DE799157,,E799157,"MSRP.1,ZCP,ZCW,ZPP.3,302,6FL,655",,,07-16-2012,550,,,,,,,,,,
381 - Le Mans Blue Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C53DE799158,,E799158,"MSRP.1,ZCP,ZPP.2,302,403,6FL,655,752",,,07-17-2012,550,,,,,,,,,,
381 - Le Mans Blue Metallic,,NCH2 - Fox Red Novillo Leather,2013,WBSKG9C55DE799159,,E799159,"MSRP.1,ZCP,ZPP.3,302,494,6FL,752",,,07-17-2012,550,,,,,,,,,,
A52 - Space Gray Metallic,,NCH3 - Beige Novillo Leather,2013,WBSKG9C51DE799160,,E799160,"MSRP.1,ZCP,ZPP.3,302,494,6FL,655,752",,,07-17-2012,550,,,,,,,,,,
A52 - Space Gray Metallic,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C53DE799161,,E799161,"MSRP.1,ZCW,ZPP.3,2MT.1,302,6FL,6NF,6NR,752",,,07-17-2012,550/1100,,,,,,,,,,
