EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C52GV351877,,V351877,2MK,,"Nov 28, 2015",,,,No information,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C54GV351878,,V351878,2MK,,"Nov 27, 2015",,,,No information,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C56GV351879,,V351879,2MK,,"Nov 28, 2015",,,,No information,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C52GV351880,,V351880,2MK,,"Nov 27, 2015",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C54GV351881,,V351881,2MK,,"Jan 5, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C56GV351882,,V351882,2MK,,"Jan 5, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C58GV351883,,V351883,2MK,,"Jan 5, 2016",,,,No information,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C5XGV351884,,V351884,2MK,,"Dec 4, 2015",,,,No information,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C51GV351885,,V351885,2MK,,"Dec 4, 2015",,,,No information,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C53GV351886,,V351886,2MK,,"Dec 4, 2015",,,,No information,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C55GV351887,,V351887,2MK,,"Dec 4, 2015",,,,No information,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C57GV351888,,V351888,2MK,,"Dec 4, 2015",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C59GV351889,,V351889,,,"Jan 4, 2016",,,,"Woodcliff Lake NJ Company Cars, Woodcliff Lake, US",,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C55GV351890,,V351890,,,"Jan 4, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C57GV351891,,V351891,,,"Jan 4, 2016",,,,"Manheim New Jersey, Bordentown, US",,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C59GV351892,,V351892,,,"Jan 4, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C50GV351893,,V351893,2MK,,"Jan 5, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C52GV351894,,V351894,2MK,,"Jan 5, 2016",,,,No information,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C54GV351895,,V351895,,,"Jan 5, 2016",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C56GV351896,,V351896,2MK,,"Jan 11, 2016",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C58GV351897,,V351897,2MK,,"Jan 11, 2016",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C5XGV351898,,V351898,2MK,,"Jan 11, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C51GV351899,,V351899,2MK,,"Jan 11, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C54GV351900,,V351900,2MK,,"Jan 11, 2016",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C56GV351901,,V351901,2MK,,"Jan 13, 2016",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C58GV351902,,V351902,2MK,,"Jan 13, 2016",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C5XGV351903,,V351903,2MK,,"Jan 14, 2016",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C51GV351904,,V351904,2MK,,"Jan 14, 2016",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C53GV351905,,V351905,2MK,,"Jan 14, 2016",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C55GV351906,,V351906,2MK,,"Jan 14, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C57GV351907,,V351907,2MK,,"Jan 14, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C59GV351908,,V351908,2MK,,"Jan 14, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C50GV351909,,V351909,2MK,,"Jan 14, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C57GV351910,,V351910,2MK,,"Jan 14, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C59GV351911,,V351911,2MK,,"Jan 15, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C50GV351912,,V351912,2MK,,"Jan 15, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C52GV351913,,V351913,2MK,,"Jan 15, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C54GV351914,,V351914,2MK,,"Jan 15, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C56GV351915,,V351915,2MK,,"Jan 15, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C58GV351916,,V351916,2MK,,"Jan 15, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C5XGV351917,,V351917,2MK,,"Jan 15, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C51GV351918,,V351918,,,"Jan 15, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C53GV351919,,V351919,,,"Jan 15, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C5XGV351920,,V351920,,,"Jan 15, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C51GV351921,,V351921,,,"Jan 15, 2016",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C53GV351922,,V351922,2MK,,"Jan 15, 2016",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C55GV351923,,V351923,2MK,,"Jan 16, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C57GV351924,,V351924,2MK,,"Jan 16, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C59GV351925,,V351925,,,"Jan 16, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C50GV351926,,V351926,,,"Jan 16, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C52GV351927,,V351927,,,"Jan 16, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C54GV351928,,V351928,,,"Jan 16, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C56GV351929,,V351929,,,"Jan 16, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C52GV351930,,V351930,,,"Jan 16, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C54GV351931,,V351931,,,"Jan 18, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C56GV351932,,V351932,2MK,,"Jan 18, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C58GV351933,,V351933,2MK,,"Jan 18, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C5XGV351934,,V351934,2MK,,"Jan 18, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C51GV351935,,V351935,2MK,,"Jan 18, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C53GV351936,,V351936,2MK,,"Jan 18, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C55GV351937,,V351937,2MK,,"Jan 18, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C57GV351938,,V351938,2MK,,"Jan 18, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C59GV351939,,V351939,2MK,,"Jan 18, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C55GV351940,,V351940,2MK,,"Jan 18, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C57GV351941,,V351941,2MK,,"Jan 18, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C59GV351942,,V351942,,,"Jan 19, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C50GV351943,,V351943,,,"Jan 19, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C52GV351944,,V351944,,,"Jan 19, 2016",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C54GV351945,,V351945,,,"Jan 19, 2016",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C56GV351946,,V351946,2MK,,"Jan 19, 2016",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C58GV351947,,V351947,2MK,,"Jan 19, 2016",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C5XGV351948,,V351948,2MK,,"Jan 19, 2016",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C51GV351949,,V351949,2MK,,"Jan 19, 2016",,,,No information,,,,,,,
