EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
,,,,,,,,,,,,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NCSW - Black Novillo Leather,,WBSWD9C50AP362440,,P362440,"MSRP,ZPP.3,ZTP,494,507,6FL,653,752,863",,,09-03-2009,550,,,,,,,,,,
A75 - Melbourne Red Metallic,,NDH3 - Beige Novillo Extended Leather,,WBSWD9C52AP362441,,P362441,"MSRP,ZCW,ZPP.2,ZTP,2MT.1,302,415,507,5AC,6FL,6NF,653,655,752",,,09-03-2009,550/1100,,,,,,,,,,
A52 - Space Gray Metallic,,NDSW - Black Extended Novillo Leather,,WBSWD9C54AP362442,,P362442,"MSRP,ZCW,ZPP.3,ZTP,2MK,2MT.1,302,507,5AC,6FL,6NF,653,655,752",,,09-03-2009,550/1100,,,,,,,,,,
300 - Alpine White,,NDH1 - Silver Novillo Extended Leather,,WBSWD9C56AP362443,,P362443,"MSRP,ZPP.3,ZTP,2MK,2MT.1,302,507,6FL,653,752",,,09-03-2009,1100,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,,WBSWD9C58AP362444,,P362444,"MSRP,ZPP.2,ZTP,2MK,302,5AC,6FL,653,655,752",,,09-03-2009,,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,,WBSWD9C5XAP362445,,P362445,"MSRP,ZPP.1,ZTP,2MK,403,494,507,6FL,653,655",,,09-03-2009,550,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,,WBSWD9C51AP362446,,P362446,"MSRP,ZCW,ZPP.1,ZTP,302,6FL,6NF,653,752",,,09-03-2009,,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,,WBSWD9C53AP362447,,P362447,"MSRP,ZCW,ZPP.3,ZTP,2MK,2MT.1,6FL,653,752",,,09-03-2009,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,,WBSWD9C55AP362448,,P362448,"MSRP,ZPP.1,ZTP,2MK,494,507,6FL,653,752",,,09-03-2009,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,,WBSWD9C57AP362449,,P362449,"MSRP,ZPP.3,ZTP,2MK,2MT.1,6FL,653,655",,,09-04-2009,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,,WBSWD9C53AP362450,,P362450,"MSRP,ZCW,ZPP.3,ZTP,2MT.1,507,6FL,6NF,863",,,09-04-2009,,,,,,,,,,,
300 - Alpine White,,NCH3 - Beige Novillo Leather,,WBSWD9C55AP362451,,P362451,"MSRP,ZTP,2MK,2MT.1,403,494,4MZ,6FL,653",,,09-04-2009,950,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,,WBSWD9C57AP362452,,P362452,"MSRP,ZCW,ZPP.3,ZTP,2MT.1,403,6FL,653,752",,,09-04-2009,,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,,WBSWD9C59AP362453,,P362453,"MSRP,ZCW,ZPP.1,2MT.1,302,322,403,415,507,609,6FL,653,655,752",,,09-04-2009,550,,,,,,,,,,
A29 - Silverstone Metallic II,,NCH1 - Silver Novillo Leather,,WBSWD9C50AP362454,,P362454,"MSRP,ZPP.3,ZTP,2MK,2MT.1,494,507,6FL,653,655,752",,,09-04-2009,550,,,,,,,,,,
A75 - Melbourne Red Metallic,,NCSW - Black Novillo Leather,,WBSWD9C52AP362455,,P362455,"MSRP,ZPP.3,ZTP,2MK,2MT.1,6FL,653",,,09-04-2009,550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,,WBSWD9C54AP362456,,P362456,"MSRP,ZCW,ZPP.3,2MK,2MT.1,302,322,415,507,609,6FL,653,655,752",,,09-04-2009,550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,,WBSWD9C56AP362457,,P362457,"MSRP,2MK,2MT.1,322,494,4MY,507,609,6FL,653,655,752",,,09-04-2009,550/950,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,,WBSWD9C58AP362458,,P362458,"MSRP,ZPP.3,ZTP,2MK,2MT.1,507,6FL,653,655,752",,,09-05-2009,550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,,WBSWD9C5XAP362459,,P362459,"MSRP,ZCW,ZPP.3,ZTP,2MK,2MT.1,302,403,6FL,653,655,752",,,09-05-2009,550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH3 - Beige Novillo Leather,,WBSWD9C56AP362460,,P362460,"MSRP,ZCW,ZPP.1,ZTP,2MT.1,403,415,6FL,653,655",,,09-05-2009,550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,,WBSWD9C58AP362461,,P362461,"MSRP,ZPP.3,ZTP,2MK,2MT.1,415,494,507,6FL,653,655,752",,,09-05-2009,550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,,WBSWD9C5XAP362462,,P362462,"MSRP,ZCW,ZPP.3,ZTP,2MK,2MT.1,302,403,6FL,6NF,653,655",,,09-05-2009,550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,,WBSWD9C51AP362463,,P362463,"MSRP,ZPP.3,ZTP,2MT.1,6FL,653,655",,,09-05-2009,550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,,WBSWD9C53AP362464,,P362464,"MSRP,ZCW,ZPP.1,ZTP,2MT.1,507,6FL,653,655,752",,,09-05-2009,550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,,WBSWD9C55AP362465,,P362465,"MSRP,ZPP.3,ZTP,2MK,2MT.1,494,507,6FL,653,655,752",,,09-05-2009,550,,,,,,,,,,
A30 - Interlagos Blue Metallic,,GEAT - Anthracite/Black Cloth & Leather,,WBSWD9C57AP362466,,P362466,"MSRP,ZPP.3,ZTP,2MT.1,494,507,6FL,653,752",,,09-05-2009,550,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NDH3 - Beige Novillo Extended Leather,,WBSWD9C59AP362467,,P362467,"MSRP,ZPP.2,ZTP,2MT.1,302,494,507,6FL,752,863",,,09-05-2009,550/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,,WBSWD9C50AP362468,,P362468,"MSRP,ZPP.3,ZTP,2MK,2MT.1,403,494,6FL,653,655,752",,,09-05-2009,550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,,WBSWD9C52AP362469,,P362469,"MSRP,ZPP.3,ZTP,2MK,2MT.1,403,494,507,6FL,653,655,752",,,09-07-2009,550,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,,WBSWD9C59AP362470,,P362470,"MSRP,ZPP.2,2MK,2MT.1,494,6FL",,,09-07-2009,,,,,,,,,,,
300 - Alpine White,,GEAT - Anthracite/Black Cloth & Leather,,WBSWD9C50AP362471,,P362471,"MSRP,ZPP.3,2MK,2MT.1,507,6FL,655",,,09-07-2009,,,,,,,,,,,
300 - Alpine White,,NCH1 - Silver Novillo Leather,,WBSWD9C52AP362472,,P362472,"MSRP,2MK,403,415,4MX,507,6FL",,,09-07-2009,950,,,,,,,,,,
300 - Alpine White,,NCH3 - Beige Novillo Leather,,WBSWD9C54AP362473,,P362473,"MSRP,2MK,223,403,494,639,771",,,09-07-2009,950,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,,WBSWD9C56AP362474,,P362474,"MSRP,ZCW,ZPP.1,ZTP,2MT.1,302,415,507,6FL,653,655,752",,,09-07-2009,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,,WBSWD9C58AP362475,,P362475,"MSRP,ZPP.3,ZTP,2MK,2MT.1,302,494,6FL,6NF,653,655,752",,,09-07-2009,,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,,WBSWD9C5XAP362476,,P362476,"MSRP,ZTP,2MT.1,4MY,6FL,653,752",,,09-07-2009,950,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,,WBSWD9C51AP362477,,P362477,"MSRP,ZPP.1,ZTP,2MK,2MT.1,494,6FL,6NF,653,655,752",,,09-07-2009,,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,,WBSWD9C53AP362478,,P362478,"MSRP,ZCW,ZPP.2,ZTP,2MT.1,302,415,507,6FL,655,752",,,09-07-2009,550,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,,WBSWD9C55AP362479,,P362479,"MSRP,ZCW,ZPP.1,2MK,2MT.1,302,322,415,507,609,6FL,653,655,752",,,09-07-2009,550,,,,,,,,,,
668 - Jet Black,,NCH2 - Fox Red Novillo Leather,,WBSWD9C51AP362480,,P362480,"MSRP,ZCW,ZPP.3,ZTP,2MT.1,507,6FL,6NF,752,863",,,09-09-2009,,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,,WBSWD9C53AP362481,,P362481,"MSRP,ZPP.3,ZTP,2MK,2MT.1,494,6FL,6NF,653,655,752",,,09-07-2009,550,,,,,,,,,,
300 - Alpine White,,NCH1 - Silver Novillo Leather,,WBSWD9C55AP362482,,P362482,"MSRP,ZCW,ZPP.3,ZTP,2MK,2MT.1,507,5AC,6FL,6NF,653,655",,,09-07-2009,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,,WBSWD9C57AP362483,,P362483,"MSRP,ZPP.3,ZTP,2MK,2MT.1,302,507,6FL",,,09-07-2009,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,,WBSWD9C59AP362484,,P362484,"MSRP,ZCW,ZPP.3,ZTP,2MK,6FL,6NF,653",,,09-07-2009,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,,WBSWD9C50AP362485,,P362485,"MSRP,ZPP.3,ZTP,2MK,2MT.1,494,6FL,6NF,653,655",,,09-07-2009,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,,WBSWD9C52AP362486,,P362486,"MSRP,ZCW,ZPP.3,ZTP,2MK,2MT.1,6FL,653,655,752",,,09-08-2009,,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,,WBSWD9C54AP362487,,P362487,"MSRP,ZPP.1,ZTP,2MT.1,403,494,6FL",,,09-08-2009,,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,,WBSWD9C56AP362488,,P362488,"MSRP,ZPP.3,ZTP,2MK,2MT.1,403,494,507,6FL,653,655,752",,,09-08-2009,550,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,,WBSWD9C58AP362489,,P362489,"MSRP,ZPP.1,2MT.1,302,494,6FL,655",,,09-08-2009,,,,,,,,,,,
A52 - Space Gray Metallic,,NCH1 - Silver Novillo Leather,,WBSWD9C54AP362490,,P362490,"MSRP,ZPP.2,ZTP,2MK,2MT.1,494,6FL,6NF,653,655,752",,,"Sep 8, 2009",550,,,,,,,,,,
381 - Le Mans Blue Metallic,,GEAT - Anthracite/Black Cloth & Leather,,WBSWD9C56AP362491,,P362491,"MSRP,ZPP.3,2MK,2MT.1,6FL,655",,,"Sep 8, 2009",550,,,,,,,,,,
381 - Le Mans Blue Metallic,,NCH1 - Silver Novillo Leather,,WBSWD9C58AP362492,,P362492,"MSRP,ZCW,ZPP.1,ZTP,2MK,2MT.1,302,6FL,653",,,"Sep 8, 2009",550,,,,,,,,,,
A52 - Space Gray Metallic,,NDSW - Black Extended Novillo Leather,,WBSWD9C5XAP362493,,P362493,"MSRP,ZPP.3,ZTP,2MT.1,403,6FL,655",,,"Sep 8, 2009",550/1100,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,,WBSWD9C51AP362494,,P362494,"MSRP,ZPP.3,ZTP,2MK,302,494,507,5AC,6FL,6NF,653,655,752",,,"Sep 8, 2009",,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,,WBSWD9C53AP362495,,P362495,"MSRP,ZCW,ZPP.3,ZTP,2MK,507,6FL,653,655,752",,,"Sep 8, 2009",550,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,,WBSWD9C55AP362496,,P362496,"MSRP,ZPP.3,ZTP,2MK,2MT.1,507,6FL,6NF,653,655,752",,,"Sep 8, 2009",,,,,,,,,,,
