EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2009,WBSPM93599E201080,,E201080,"MSRP.2,ZCW,2MK,2MT.1,403,4MY,653",,"$63,975.00",,,,,,,,,,,,
300 - Alpine White,,NDH3 - Beige Novillo Extended Leather,2009,WBSPM93509E201081,,E201081,"MSRP.2,ZCW,ZPP.2,ZTP,2MK,6FL,653,655,752",,"$69,370.00",,,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2009,WBSPM93529E201082,,E201082,"MSRP.2,ZCW,ZPP.3,ZTP,2MK,2MT.1,403,6FL,653,655,752",,"$71,620.00",,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2009,WBSPM93549E201083,,E201083,"MSRP.2,ZCW,ZPP.1,ZTP,2MK,2MT.1,403,507,653,655,752",,"$71,570.00",,,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2009,WBSPM93569E201084,,E201084,"MSRP.2,ZCW,ZPP.1,ZTP,2MK,2MT.1,403,417,507,6FL,653,752,863",,"$71,950.00",,,,,,,,,,,,
668 - Jet Black,,NDSW - Black Extended Novillo Leather,2009,WBSPM93589E201085,,E201085,"MSRP.2,ZPP.2,ZTP,2MK,2MT.1,403,494,507,6FL,653,655,752",,"$71,470.00",,,,,,,,,,,,
A73 - Jerez Black Metallic,,NDH1 - Silver Novillo Extended Leather,2009,WBSPM935X9E201086,,E201086,"MSRP.2,ZPP.2,ZTP,2MT.1,403,465,494,6FL,653,752",,"$68,100.00",,,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH2 - Fox Red Extended Leather,2009,WBSPM93519E201087,,E201087,"MSRP.2,ZCW,ZPP.1,ZTP,2MK,403,507,6FL,653,655",,"$68,870.00",,,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2009,WBSPM93539E201088,,E201088,"MSRP.2,ZPP.3,ZTP,2MK,2MT.1,403,494,6FL,6NF,653,655,752",,"$71,270.00",,,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NCH1 - Silver Novillo Leather,2009,WBSPM93559E201089,,E201089,"MSRP.2,2MK,403,465,609,6FL,653,752,771",,"$66,150.00",,,,,,,,,,,,
300 - Alpine White,,NCH1 - Silver Novillo Leather,2009,WBSPM93519E201090,,E201090,"MSRP.2,ZCW,ZPP.2,ZTP,2MK,2MT.1,403,417,507,6FL,653,752,863",,"$71,950.00",,,,,,,,,,,,
A29 - Silverstone Metallic II,,NCH2 - Fox Red Novillo Leather,2009,WBSPM93539E201091,,E201091,"MSRP.2,ZCW,ZPP.3,ZTP,2MK,2MT.1,403,417,507,6FL,6NF,653,655,752",,"$72,695.00",,,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2009,WBSPM93559E201092,,E201092,"MSRP.2,ZPP.1,ZTP,2MK,2MT.1,403,494,6FL,653",,"$68,625.00",,,,,,,,,,,,
300 - Alpine White,,NDH3 - Beige Novillo Extended Leather,2009,WBSPM93579E201093,,E201093,"MSRP.2,ZCW,ZPP.3,ZTP,2MK,2MT.1,403,417,507,6FL,653,655,752",,"$72,545.00",,,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2009,WBSPM93599E201094,,E201094,"MSRP.2,ZCW,ZPP.2,ZTP,2MK,2MT.1,403,6FL,653,752",,"$71,025.00",,,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,2009,WBSPM93509E201095,,E201095,"MSRP.2,ZCW,ZPP.1,ZTP,2MT.1,403,507,6FL,653,655,752",,"$69,070.00",,,,,,,,,,,,
668 - Jet Black,,NDH3 - Beige Novillo Extended Leather,2009,WBSPM93529E201096,,E201096,"MSRP.2,ZCW,ZPP.2,ZTP,2MK,403,417,507,6FL,653",,"$68,850.00",,,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2009,WBSPM93549E201097,,E201097,"MSRP.2,ZCW,ZPP.2,ZTP,2MK,2MT.1,403,417,507,6FL,653",,"$70,050.00",,,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2009,WBSPM93569E201098,,E201098,"MSRP.2,ZPP.1,ZTP,2MK,2MT.1,403,494,507,6FL,653,752",,"$70,875.00",,,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2009,WBSPM93589E201099,,E201099,"MSRP.2,ZCW,ZPP.3,ZTP,2MT.1,403,6FL,6NF,653,655,752",,"$68,870.00",,,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NDH3 - Beige Novillo Extended Leather,2009,WBSPM93509E201100,,E201100,"MSRP.2,ZPP.2,ZTP,2MK,2MT.1,417,6FL,653,655,752",,"$71,795.00",09-25-2008,550/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2009,WBSPM93529E201101,,E201101,"MSRP.2,ZCW,ZPP.1,ZTP,2MK,2MT.1,403,507,653",,"$69,625.00",,550,,,,,,,,,,
A52 - Space Gray Metallic,,NCH2 - Fox Red Novillo Leather,2009,WBSPM93549E201102,,E201102,"MSRP.2,ZPP.3,ZTP,2MK,302,403,465,494,507,6FL,653,655,752",,"$71,695.00",,550,,BMW MINI PARIS,,,,,,,,
300 - Alpine White,,GEAT - Anthracite/Black Cloth & Leather,2009,WBSPM93569E201103,,E201103,"MSRP.2,ZCW,ZTP,2MT.1,302,403,417,4MY,6FL,655,752",,"$67,845.00",,,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,2009,WBSPM93589E201104,,E201104,"MSRP.2,ZCW,ZPP.3,ZTP,2MK,2MT.1,403,6FL,653,655,752",,"$72,170.00",,550,, BMW of Southpoint,,,,,,,,
A29 - Silverstone Metallic II,,GEAT - Anthracite/Black Cloth & Leather,2009,WBSPM935X9E201105,,E201105,"MSRP.2,ZTP,2MT.1,417,465,4MY,507,6FL,653,863",,"$64,625.00",,550,MILITARY/EURO DELIVERY,Autohaus Krauth GmbH & Co. KG,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,2009,WBSPM93519E201106,,E201106,"MSRP.2,ZPP.1,ZTP,2MK,2MT.1,403,465,494,507,6FL,6NF,653,655,863",,"$70,745.00",,550,MILITARY/EURO DELIVERY,Autohaus Krauth GmbH & Co. KG,,,,,,,,
A29 - Silverstone Metallic II,,NCH1 - Silver Novillo Leather,2009,WBSPM93539E201107,,E201107,"MSRP.2,ZPP.1,ZTP,2MK,653,655",,"$66,620.00",,550,,South Bay BMW MINI,,,,,,,,
A75 - Melbourne Red Metallic,,NCSW - Black Novillo Leather,2009,WBSPM93559E201108,,E201108,"MSRP.2,ZCW,ZPP.1,ZTP,2MK,2MT.1,507,653,655",,"$69,170.00",,550,,Taylor BMW,,,,,,,,
A30 - Interlagos Blue Metallic,,NCH1 - Silver Novillo Leather,2009,WBSPM93579E201109,,E201109,"MSRP.2,ZPP.3,ZTP,2MK,2MT.1,403,6FL,653,655",,"$69,270.00",,550,,Classic BMW,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2009,WBSPM93539E201110,,E201110,"MSRP.2,ZPP.2,ZTP,2MK,2MT.1,302,403,494,507,6FL,6NF,653,655",,"$70,670.00",,550,,South Bay BMW MINI,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2009,WBSPM93559E201111,,E201111,"MSRP.2,ZPP.3,ZTP,2MK,2MT.1,403,494,6FL,653",,"$69,175.00",,550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH1 - Silver Novillo Leather,2009,WBSPM93579E201112,,E201112,"MSRP.2,ZCW,ZPP.3,ZTP,2MK,2MT.1,403,417,507,6FL,653,752",,"$72,500.00",,550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH1 - Silver Novillo Leather,2009,WBSPM93599E201113,,E201113,"MSRP.2,ZPP.1,ZTP,2MK,2MT.1,6FL,653",,"$67,625.00",,550,,,,,,,,,,
A75 - Melbourne Red Metallic,,NCH3 - Beige Novillo Leather,2009,WBSPM93509E201114,,E201114,"MSRP.2,ZPP.3,2MK,2MT.1,322,465,653",,"$64,450.00",,550,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,2009,WBSPM93529E201115,,E201115,"MSRP.2,ZPP.3,ZTP,2MK,494,653",,"$65,975.00",,,,,,,,,,,,
