EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
A29 - Silverstone Metallic II,,NDH2 - Fox Red Extended Leather,2008,WBSVA93538E041261,,E041261,"MSRP.3,ZPP.3,2MT.1,403,609,6FL,653,655,752",,"$66,995.00","Jan 10, 2008",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2008,WBSVA93558E041262,,E041262,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,403,417,507,6FL,752",,"$68,425.00","Jan 11, 2008",475,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2008,WBSVA93578E041263,,E041263,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,403,417,507,6FL,752",,"$68,425.00","Jan 11, 2008",475,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2008,WBSVA93598E041264,,E041264,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,403,417,507,6FL,655,752",,"$69,020.00","Jan 11, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93508E041265,,E041265,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 11, 2008",475,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH2 - Fox Red Extended Leather,2008,WBSVA93528E041266,,E041266,"MSRP.3,ZPP.3,2MT.1,403,609,6FL,653,655,752",,"$66,995.00","Jan 11, 2008",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH2 - Fox Red Extended Leather,2008,WBSVA93548E041267,,E041267,"MSRP.3,ZPP.3,2MT.1,403,609,6FL,653,655,752",,"$66,995.00","Jan 10, 2008",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH2 - Fox Red Extended Leather,2008,WBSVA93568E041268,,E041268,"MSRP.3,ZPP.3,2MT.1,403,609,6FL,653,655,752",,"$66,995.00","Jan 11, 2008",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93588E041269,,E041269,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 11, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93548E041270,,E041270,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 11, 2008",475,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2008,WBSVA93568E041271,,E041271,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,403,417,507,6FL,752",,"$68,425.00","Jan 14, 2008",475,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2008,WBSVA93588E041272,,E041272,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,403,417,507,6FL,752",,"$68,425.00","Jan 14, 2008",475,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2008,WBSVA935X8E041273,,E041273,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,403,417,507,6FL,752",,"$68,425.00","Jan 14, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93518E041274,,E041274,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,655,752",,"$67,870.00","Jan 14, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93538E041275,,E041275,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,655,752",,"$67,870.00","Jan 12, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93558E041276,,E041276,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,655,752",,"$67,870.00","Jan 12, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93578E041277,,E041277,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,752",,"$67,275.00","Jan 12, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93598E041278,,E041278,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,752",,"$67,275.00","Jan 12, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93508E041279,,E041279,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,752",,"$67,275.00","Jan 12, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93578E041280,,E041280,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,403,417,507,6FL,655,752",,"$69,020.00","Jan 12, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93598E041281,,E041281,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,403,417,507,6FL,752",,"$68,425.00","Jan 12, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93508E041282,,E041282,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,403,417,507,6FL,752",,"$68,425.00","Jan 12, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93528E041283,,E041283,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,403,417,507,6FL,752",,"$68,425.00","Jan 12, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93548E041284,,E041284,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,403,417,507,6FL,752",,"$68,425.00","Jan 12, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93568E041285,,E041285,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,403,417,507,6FL,752",,"$68,425.00","Jan 11, 2008",475,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2008,WBSVA93588E041286,,E041286,"MSRP.3,ZCW,ZTP,2MT.1,302,403,417,4MY,507,6FL,752",,"$67,975.00","Jan 14, 2008",475/950,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2008,WBSVA935X8E041287,,E041287,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,403,417,507,6FL,752",,"$68,425.00","Jan 14, 2008",475,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2008,WBSVA93518E041288,,E041288,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,403,417,507,6FL,752",,"$68,425.00","Jan 14, 2008",475,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2008,WBSVA93538E041289,,E041289,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,403,417,507,6FL,752",,"$68,425.00","Jan 14, 2008",475,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2008,WBSVA935X8E041290,,E041290,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,403,417,507,6FL,752",,"$68,425.00","Jan 14, 2008",475,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2008,WBSVA93518E041291,,E041291,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,403,417,507,6FL,752",,"$68,425.00","Jan 14, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93538E041292,,E041292,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,752",,"$67,275.00","Jan 12, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93558E041293,,E041293,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,752",,"$67,275.00","Jan 12, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93578E041294,,E041294,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,752",,"$67,275.00","Jan 12, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93598E041295,,E041295,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,752",,"$67,275.00","Jan 12, 2008",475,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93508E041296,,E041296,"MSRP.3,ZCW,ZPP.3,2MT.1,302,322,403,417,507,609,6FL,752",,"$66,800.00","Jan 15, 2008",,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93528E041297,,E041297,"MSRP.3,ZCW,ZPP.3,2MT.1,302,322,403,417,507,609,6FL,752",,"$66,800.00","Jan 15, 2008",,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93548E041298,,E041298,"MSRP.3,ZCW,ZPP.3,2MT.1,302,322,403,417,507,609,6FL,752",,"$66,800.00","Jan 15, 2008",,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93568E041299,,E041299,"MSRP.3,ZCW,ZPP.3,2MT.1,302,322,403,417,507,609,6FL,752",,"$66,800.00","Jan 15, 2008",,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2008,WBSVA93598E041300,,E041300,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,403,417,507,6FL,752",,"$68,425.00","Jan 15, 2008",475,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2008,WBSVA93508E041301,,E041301,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,403,417,507,6FL,752",,"$68,425.00","Jan 15, 2008",475,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2008,WBSVA93528E041302,,E041302,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,403,417,507,6FL,752",,"$68,425.00","Jan 14, 2008",475,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH2 - Fox Red Extended Leather,2008,WBSVA93548E041303,,E041303,"MSRP.3,ZPP.3,2MT.1,403,609,6FL,653,655,752",,"$66,995.00","Jan 16, 2008",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH2 - Fox Red Extended Leather,2008,WBSVA93568E041304,,E041304,"MSRP.3,ZPP.3,2MT.1,403,609,6FL,653,655,752",,"$66,995.00","Jan 15, 2008",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH2 - Fox Red Extended Leather,2008,WBSVA93588E041305,,E041305,"MSRP.3,ZPP.3,2MT.1,403,609,6FL,653,655,752",,"$66,995.00","Jan 15, 2008",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH2 - Fox Red Extended Leather,2008,WBSVA935X8E041306,,E041306,"MSRP.3,ZPP.3,2MT.1,403,609,6FL,653,655,752",,"$66,995.00","Jan 15, 2008",475/1100,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93518E041307,,E041307,"MSRP.3,ZCW,ZPP.3,2MT.1,302,322,403,417,507,609,6FL,752",,"$66,800.00","Jan 16, 2008",,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93538E041308,,E041308,"MSRP.3,ZCW,ZPP.3,2MT.1,302,322,403,417,507,609,6FL,752",,"$66,800.00","Jan 16, 2008",,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93558E041309,,E041309,"MSRP.3,ZCW,ZPP.3,2MT.1,302,322,403,417,507,609,6FL,752",,"$66,800.00","Jan 16, 2008",,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93518E041310,,E041310,"MSRP.3,ZCW,ZPP.3,2MT.1,302,322,403,417,507,609,6FL,752",,"$66,800.00","Jan 16, 2008",,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93538E041311,,E041311,"MSRP.3,ZCW,ZPP.3,2MT.1,302,322,403,417,507,609,6FL,655,752",,"$67,395.00","Jan 16, 2008",,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH2 - Fox Red Extended Leather,2008,WBSVA93558E041312,,E041312,"MSRP.3,ZPP.3,2MT.1,403,609,6FL,653,655,752",,"$66,995.00","Jan 16, 2008",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH2 - Fox Red Extended Leather,2008,WBSVA93578E041313,,E041313,"MSRP.3,ZPP.3,2MT.1,403,609,6FL,653,655,752",,"$66,995.00","Jan 17, 2008",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH2 - Fox Red Extended Leather,2008,WBSVA93598E041314,,E041314,"MSRP.3,ZPP.3,2MT.1,403,609,6FL,653,655,752",,"$66,995.00","Jan 17, 2008",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH2 - Fox Red Extended Leather,2008,WBSVA93508E041315,,E041315,"MSRP.3,ZPP.3,2MT.1,403,609,6FL,653,655,752",,"$66,995.00","Jan 17, 2008",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH2 - Fox Red Extended Leather,2008,WBSVA93528E041316,,E041316,"MSRP.3,ZPP.3,2MT.1,403,609,6FL,653,655,752",,"$66,995.00","Jan 17, 2008",475/1100,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93548E041317,,E041317,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,752",,"$67,275.00","Jan 17, 2008",475,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93568E041318,,E041318,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,752",,"$67,275.00","Jan 17, 2008",475,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93588E041319,,E041319,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,752",,"$67,275.00","Jan 17, 2008",475,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93548E041320,,E041320,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,752",,"$67,275.00","Jan 17, 2008",475,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93568E041321,,E041321,"MSRP.3,ZCW,ZPP.3,2MT.1,302,322,403,417,507,609,6FL,752",,"$66,800.00","Jan 17, 2008",,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93588E041322,,E041322,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,752",,"$67,275.00","Jan 18, 2008",475,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,NCSW - Black Novillo Leather,2008,WBSVA935X8E041323,,E041323,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,752",,"$67,275.00","Jan 18, 2008",475,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93518E041324,,E041324,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,752",,"$67,275.00","Jan 17, 2008",475,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93538E041325,,E041325,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,655,752",,"$67,870.00","Jan 18, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93558E041326,,E041326,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 18, 2008",475,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH2 - Fox Red Extended Leather,2008,WBSVA93578E041327,,E041327,"MSRP.3,ZPP.3,2MT.1,403,609,6FL,653,655,752",,"$66,995.00","Jan 17, 2008",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH2 - Fox Red Extended Leather,2008,WBSVA93598E041328,,E041328,"MSRP.3,ZPP.3,2MT.1,403,609,6FL,653,655,752",,"$66,995.00","Jan 17, 2008",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH2 - Fox Red Extended Leather,2008,WBSVA93508E041329,,E041329,"MSRP.3,ZPP.3,2MT.1,403,609,6FL,653,655,752",,"$66,995.00","Jan 17, 2008",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH2 - Fox Red Extended Leather,2008,WBSVA93578E041330,,E041330,"MSRP.3,ZPP.3,2MT.1,403,609,6FL,653,655,752",,"$66,995.00","Jan 17, 2008",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93598E041331,,E041331,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 18, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93508E041332,,E041332,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 18, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93528E041333,,E041333,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 18, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93548E041334,,E041334,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 18, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93568E041335,,E041335,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 18, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93588E041336,,E041336,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 18, 2008",475,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH2 - Fox Red Extended Leather,2008,WBSVA935X8E041337,,E041337,"MSRP.3,ZPP.3,2MT.1,403,609,6FL,653,655,752",,"$66,995.00","Jan 18, 2008",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH2 - Fox Red Extended Leather,2008,WBSVA93518E041338,,E041338,"MSRP.3,ZPP.3,2MT.1,403,609,6FL,653,655,752",,"$66,995.00","Jan 18, 2008",475/1100,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93538E041339,,E041339,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,752",,"$67,275.00","Jan 18, 2008",475,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,NCSW - Black Novillo Leather,2008,WBSVA935X8E041340,,E041340,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,752",,"$67,275.00","Jan 21, 2008",475,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93518E041341,,E041341,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,752",,"$67,275.00","Jan 21, 2008",475,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93538E041342,,E041342,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,752",,"$67,275.00","Jan 18, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93558E041343,,E041343,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 18, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93578E041344,,E041344,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 19, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93598E041345,,E041345,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 18, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93508E041346,,E041346,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 18, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93528E041347,,E041347,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 18, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93548E041348,,E041348,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 21, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93568E041349,,E041349,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 21, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93528E041350,,E041350,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 21, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93548E041351,,E041351,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 19, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93568E041352,,E041352,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 19, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93588E041353,,E041353,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 19, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA935X8E041354,,E041354,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 19, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93518E041355,,E041355,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 19, 2008",475,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93538E041356,,E041356,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,752",,"$67,275.00","Jan 21, 2008",475,,,,,,,,,,
,,NCSW - Black Novillo Leather,2008,WBSVA93558E041357,,E041357,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,752",,"$66,800.00","Jan 21, 2008",,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93578E041358,,E041358,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 21, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93598E041359,,E041359,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 21, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93558E041360,,E041360,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 21, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93578E041361,,E041361,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 21, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93598E041362,,E041362,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 21, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93508E041363,,E041363,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 21, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93528E041364,,E041364,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 21, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93548E041365,,E041365,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 21, 2008",475,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93568E041366,,E041366,"MSRP.3,ZCW,ZPP.1,2MT.1,302,322,403,417,507,609,6FL,752",,"$67,275.00","Jan 22, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93588E041367,,E041367,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 22, 2008",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA935X8E041368,,E041368,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$68,970.00","Jan 22, 2008",475,,,,,,,,,,
