EXTERIOR,,INTERIOR,Year,VIN,,,Package Codes,PACKAGES,MSRP,PROD,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VPC
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12506,,VA12506,,,,"Jul 10, 2017",,,Sterling BMW,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12507,,VA12507,,,,"Jul 10, 2017",,,South Motors BMW,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12508,,VA12508,,,,"Jul 10, 2017",,,Beverly Hills BMW,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12509,,VA12509,2MK,,,"Jul 10, 2017",,,Lauderdale BMW of Pembroke Pines,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12510,,VA12510,2MK,,,"Jul 11, 2017",,,Beverly Hills BMW,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12511,,VA12511,,,,"Jul 11, 2017",,,Schomp BMW of Highlands Ranch,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12512,,VA12512,,,,"Jul 11, 2017",,,Daniels BMW,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12513,,VA12513,,,,"Jul 11, 2017",,,BMW of Rochester Hills,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12514,,VA12514,,,,"Jul 11, 2017",,,Hendrick BMW,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12515,,VA12515,2MK,,,"Jul 11, 2017",,,BMW of San Antonio,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12516,,VA12516,,,,"Jul 12, 2017",,,Motorwerks BMW,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12517,,VA12517,2MK,,,"Jul 12, 2017",,,"O'Regan's BMW, Halifax, CAN",,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12518,,VA12518,2MK,,,"Jul 12, 2017",,,Preston BMW,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12519,,VA12519,,,,"Jul 13, 2017",,,"AH Euler Kaiserslautern GmbH, Kaiserslautern, DE",,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12520,,VA12520,2MK,,,"Jul 13, 2017",,,"AH Euler Kaiserslautern GmbH, Kaiserslautern, DE",,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12521,,VA12521,,,,"Jul 13, 2017",,,Circle BMW,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12522,,VA12522,,,,"Jul 14, 2017",,,"Autohaus Graser GmbH, Pressath, DE",,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12523,,VA12523,,,,"Jul 14, 2017",,,Keeler BMW,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12524,,VA12524,,,,"Jul 14, 2017",,,BMW of Tenafly,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12525,,VA12525,,,,"Jul 14, 2017",,,New Century BMW,,,,,,,,
