EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
A75 - Melbourne Red Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSWD93598PY39053,,PY39053,"MSRP.3,ZPP.3,ZTP,2MT.1,494,6FL",,,11-20-2007,475,,,,,,,,,,
A75 - Melbourne Red Metallic,,GEAT - Anthracite/Black Cloth & Leather,2008,WBSWD93508PY39054,,PY39054,"MSRP.3,2MT.1,494,4MX",,,11-21-2007,475,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH1 - Silver Novillo Extended Leather,2008,WBSWD93528PY39055,,PY39055,"MSRP.3,2MT.1,223,302,494,4MY,609,655",,,11-21-2007,475/2000,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2008,WBSWD93548PY39056,,PY39056,"MSRP.3,ZPP.1,2MT.1,494,609,6FL,653",,,11-22-2007,475,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,NCH3 - Beige Novillo Leather,2008,WBSWD93568PY39057,,PY39057,"MSRP.3,ZPP.2,2MT.1,494,609,6FL,653",,,11-22-2007,475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2008,WBSWD93588PY39058,,PY39058,"MSRP.3,ZPP.1,ZTP,2MT.1,403,494,507,6FL,653",,,11-22-2007,475,,,,,,,,,,
300 - Alpine White,,GEAT - Anthracite/Black Cloth & Leather,2008,WBSWD935X8PY39059,,PY39059,"MSRP.3,2MT.1,494,4MX,609,6FL",,,11-22-2007,,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSWD93568PY39060,,PY39060,"MSRP.3,ZPP.3,ZTP,2MT.1,403,494,507,6FL,653",,,11-22-2007,475,,,,,,,,,,
A75 - Melbourne Red Metallic,,GEAT - Anthracite/Black Cloth & Leather,2008,WBSWD93588PY39061,,PY39061,"MSRP.3,ZPP.3,2MT.1,302,322,494,609,6FL,752",,,11-23-2007,475,,,,,,,,,,
A30 - Interlagos Blue Metallic,,GEAT - Anthracite/Black Cloth & Leather,2008,WBSWD935X8PY39062,,PY39062,"MSRP.3,2MT.1,494,4MX,609",,,11-28-2007,475,,,,,,,,,,
A29 - Silverstone Metallic II,,NCH1 - Silver Novillo Leather,2008,WBSWD93518PY39063,,PY39063,"MSRP.3,ZPP.1,2MT.1,494,609,6FL,653",,,11-28-2007,475,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2008,WBSWD93538PY39064,,PY39064,"MSRP.3,ZPP.1,ZTP,2MT.1,494,507,6FL,653",,,11-28-2007,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2008,WBSWD93558PY39065,,PY39065,"MSRP.3,ZPP.3,ZTP,2MT.1,494,6FL",,,11-30-2007,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2008,WBSWD93578PY39066,,PY39066,"MSRP.3,ZPP.3,ZTP,2MT.1,494,6FL",,,11-30-2007,,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NCSW - Black Novillo Leather,2008,WBSWD93598PY39067,,PY39067,"MSRP.3,ZPP.1,ZTP,2MT.1,494,507,6FL,653",,,11-30-2007,475,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NCH1 - Silver Novillo Leather,2008,WBSWD93508PY39068,,PY39068,"MSRP.3,ZPP.3,ZTP,2MT.1,494,6FL,653",,,11-30-2007,475,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93528PY39069,,PY39069,"MSRP.3,ZPP.3,ZTP,2MT.1,302,494,507,6FL,752",,,11-19-2007,1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSWD93598PY39070,,PY39070,"MSRP.3,ZPP.3,ZTP,2MT.1,302,403,494,507,6FL,752",,,11-19-2007,475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSWD93508PY39071,,PY39071,"MSRP.3,ZPP.3,ZTP,2MT.1,302,403,494,507,6FL,752",,,11-19-2007,475/1100,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,NCSW - Black Novillo Leather,2008,WBSWD93528PY39072,,PY39072,"MSRP.3,ZPP.1,2MT.1,302,322,494,507,609,6FL,752",,,11-19-2007,475,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93548PY39073,,PY39073,"MSRP.3,ZPP.1,ZTP,2MT.1,403,494,507,6FL,653,655,752",,,11-19-2007,1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93568PY39074,,PY39074,"MSRP.3,ZPP.1,ZTP,2MT.1,403,494,507,6FL,653,655,752",,,11-19-2007,1100,,,,,,,,,,
300 - Alpine White,,NCH1 - Silver Novillo Leather,2008,WBSWD93588PY39075,,PY39075,"MSRP.3,ZPP.1,2MT.1,302,322,494,6FL",,,11-19-2007,,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD935X8PY39076,,PY39076,"MSRP.3,ZPP.1,ZTP,2MT.1,403,494,507,6FL,653,655,752",,,11-19-2007,1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93518PY39077,,PY39077,"MSRP.3,ZPP.1,ZTP,2MT.1,403,494,507,6FL,653,655,752",,,11-19-2007,1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93538PY39078,,PY39078,"MSRP.3,ZPP.1,ZTP,2MT.1,403,494,507,6FL,653,655,752",,,11-19-2007,1100,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2008,WBSWD93558PY39079,,PY39079,"MSRP.3,ZPP.1,ZTP,2MT.1,494,507,752",,,11-24-2007,,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2008,WBSWD93518PY39080,,PY39080,"MSRP.3,ZPP.1,ZTP,2MT.1,494,507,752",,,11-24-2007,,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2008,WBSWD93538PY39081,,PY39081,"MSRP.3,ZPP.1,ZTP,2MT.1,494,507,752",,,11-24-2007,,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2008,WBSWD93558PY39082,,PY39082,"MSRP.3,ZPP.1,ZTP,2MT.1,494,507,752",,,11-24-2007,,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2008,WBSWD93578PY39083,,PY39083,"MSRP.3,ZPP.1,ZTP,2MT.1,494,507,752",,,11-26-2007,,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2008,WBSWD93598PY39084,,PY39084,"MSRP.3,ZPP.1,ZTP,2MT.1,494,507,655,752",,,11-26-2007,,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2008,WBSWD93508PY39085,,PY39085,"MSRP.3,ZPP.1,ZTP,2MT.1,494,507,752",,,11-24-2007,,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2008,WBSWD93528PY39086,,PY39086,"MSRP.3,ZPP.1,ZTP,2MT.1,494,507,752",,,11-26-2007,,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2008,WBSWD93548PY39087,,PY39087,"MSRP.3,ZPP.1,ZTP,2MT.1,494,507,752",,,11-26-2007,,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2008,WBSWD93568PY39088,,PY39088,"MSRP.3,ZPP.1,ZTP,2MT.1,494,507,752",,,11-26-2007,,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93588PY39089,,PY39089,"MSRP.3,ZPP.1,ZTP,2MT.1,494,507,6FL,653,655,752",,,11-20-2007,1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93548PY39090,,PY39090,"MSRP.3,ZPP.1,ZTP,2MT.1,494,507,6FL,653,655,752",,,11-20-2007,1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93568PY39091,,PY39091,"MSRP.3,ZPP.1,ZTP,2MT.1,403,494,507,6FL,653,655,752",,,11-20-2007,1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93588PY39092,,PY39092,"MSRP.3,ZPP.1,ZTP,2MT.1,494,507,6FL,653,655,752",,,11-20-2007,1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD935X8PY39093,,PY39093,"MSRP.3,ZPP.1,ZTP,2MT.1,494,507,6FL,653,655,752",,,11-20-2007,1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93518PY39094,,PY39094,"MSRP.3,ZPP.1,ZTP,2MT.1,494,507,6FL,653,655,752",,,11-20-2007,1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93538PY39095,,PY39095,"MSRP.3,ZPP.1,2MT.1,322,494,507,609,6FL,653,655,752",,,11-20-2007,1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93558PY39096,,PY39096,"MSRP.3,ZPP.1,ZTP,2MT.1,403,494,507,6FL,653,655,752",,,11-20-2007,1100,,,,,,,,,,
